ID,Date,Newspaper,Page,First Head?,Head Size,Text Size,Continuation Size,Number of Columns,Top Half?,External source credited?,Gender: reporter1,Gender: reporter2,Reporter location,Embedded reporter used?,Story Type,Story setting/ occasion,Overall tone of story,Reporter Disdain?,Reporter Correction?,Prognosis1,Prognosis2,Prognosis3,Prognosis4,Prognosis5,Prognosis6,Prognosis7,Prognosis8,Prognosis9,Prognosis10,Prognosis11,Prognosis12,Prognosis13,Prognosis14,Prognosis15,Prognosis16
78,17/03/2003,The Times,19,Clear the decks,19.2,204.8,,2,TRUE,None,9,9,Other: No location,9,Editorial,Political: International Event/ Summit,40,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
79,17/03/2003,Daily Telegraph,1,'Moment of truth for the world',140,326.34,,6,TRUE,None,1,9,Summit of International leaders,9,Straight: events over last 24 hours,Political: International Event/ Summit,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
80,17/03/2003,Daily Telegraph,2,'Saddam has proved capable of any crime',59.04,131.81,,7,TRUE,None,9,9,Other: No location,9,Expert/politician,Political: International Event/ Summit,19,No/ N/A,No/ N/A,9,9,9,4,9,9,9,9,9,4,9,9,9,9,9,9
81,17/03/2003,Daily Telegraph,2,'We will do all we can in the time that remains',30.25,109.22,,3,TRUE,None,9,9,Other: No location,9,Expert/politician,Political: International Event/ Summit,40,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,4,9,4,9,9,4,9
82,17/03/2003,Daily Telegraph,2,Brown leads campiagn to avert backbench revolt over Iraq,46.9,186.2,,7,TRUE,None,1,9,Other: No location,9,Straight: events over last 24 hours,Political: Planned Media opportunity,17,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
83,17/03/2003,Daily Telegraph,3,Morale high as British troops play waiting game,67.45,198.24,,2,TRUE,None,1,9,Kuwaiti desert,8,Straight: events over last 24 hours,Conflict zone: Report from battle/action,40,No/ N/A,No/ N/A,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
84,17/03/2003,Daily Telegraph,3,Cavalry hopes its prayers are answered,47.6,171.5,,4,TRUE,None,1,9,Kuwaiti desert,1,Postcard/ Experience/ 'Novelistic' description,Conflict zone: Report from battle/action,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
85,17/03/2003,Daily Telegraph,4,"For Saddam's home town marchers, this could be the last time",46.2,189.12,,7,TRUE,None,1,9,Baghdad,2,Straight: events over last 24 hours,Conflict zone: Report from battle/action,19,Iraq military,No/ N/A,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
86,17/03/2003,Daily Telegraph,4,Desert Rats and SAS to play crucial roles in invasion,66.3,195.72,,8,TRUE,None,1,1,CentCom/Qatar/ Kuwait,9,Straight: events over last 24 hours,Conflict zone: Report from battle/action,40,No/ N/A,No/ N/A,4,4,9,4,9,9,9,9,9,9,9,9,9,9,9,9
87,17/03/2003,Daily Telegraph,4,UN arms inspectors join the exodus,20.4,104.31,,3,FALSE,None,1,9,Baghdad,2,Straight: events over last 24 hours,Conflict zone: Report from battle/action,04,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
