mpid,firstname,surname,party
1126,George,Mudie,Lab
1127,Chris,Mullin,Lab
1128,Meg,Munn,Lab
1129,Denis,Murphy,Lab
1130,Jim,Murphy,Lab
1131,Paul,Murphy,Lab
1132,Andrew,Murrison,Con
1133,Doug,Naysmith,Lab
1134,Archie,Norman,Con
1135,Dan,Norris,Lab
1136,Mark,Oaten,LDem
1137,Bill,O'Brien,Lab
1138,Mike,O'Brien,Lab
1139,Stephen,O'Brien,Con
1140,Edward,O'Hara,Lab
1141,Bill,Olner,Lab
1142,Martin,O'Neill,Lab
1143,Lembit,Opik,LDem
1144,Diana,Organ,Lab
1145,George,Osborne,Con
1146,Sandra,Osborne,Lab
1147,Richard,Ottaway,Con
1148,Albert,Owen,Lab
1149,Richard,Page,Con
1150,James,Paice,Con
1151,Ian,Paisley,DUP
1152,Nick,Palmer,Lab
1153,Owen,Paterson,Con
1154,Ian,Pearson,Lab
1155,Linda,Perham,Lab
1156,Anne,Picking,Lab
1157,Eric,Pickles,Con
1158,Colin,Pickthall,Lab
1159,Peter,Pike,Lab
1160,James,Plaskitt,Lab
1161,Kerry,Pollard,Lab
1162,Chris,Pond,Lab
1163,Greg,Pope,Lab
1164,Michael,Portillo,Con
1165,Steve,Pound,Lab
1166,Raymond,Powell,Lab
1167,Bridget,Prentice,Lab
1168,Gordon,Prentice,Lab
1169,John,Prescott,Lab
1170,Adam,Price,PC
1171,Dawn,Primarolo,Lab
1172,Mark,Prisk,Con
1173,Gwyn,Prosser,Lab
1174,John,Pugh,LDem
1175,Ken,Purchase,Lab
1176,James,Purnell,Lab
1177,Joyce,Quin,Lab
1178,Lawrie,Quinn,Lab
1179,Bill,Rammell,Lab
1180,John,Randall,Con
1181,Syd,Rapson,Lab
1182,Nick,Raynsford,Lab
1183,John,Redwood,Con
1184,Andy,Reed,Lab
1185,Alan,Reid,LDem
1186,John,Reid,Lab
1187,David,Rendel,LDem
1188,Andrew,Robathan,Con
1189,Angus,Robertson,SNP
1190,Hugh,Robertson,Con
1191,John,Robertson,Lab
1192,Laurence,Robertson,Con
1193,Geoffrey,Robinson,Lab
1194,Iris,Robinson,DUP
1195,Peter,Robinson,DUP
1196,Barbara,Roche,Lab
1197,Marion,Roe,Con
1198,Terry,Rooney,Lab
1199,Andrew,Rosindell,Con
1200,Ernie,Ross,Lab
1201,Frank,Roy,Lab
1202,Chris,Ruane,Lab
1203,Joan,Ruddock,Lab
1204,David,Ruffley,Con
1205,Bob,Russell,LDem
1206,Christine,Russell,Lab
1207,Joan,Ryan,Lab
1208,Alex,Salmond,SNP
1209,Martin,Salter,Lab
1210,Adrian,Sanders,LDem
1211,Mohammad,Sarwar,Lab
1212,Malcolm,Savidge,Lab
1213,Phil,Sawford,Lab
1214,Jonathan,Sayeed,Con
1215,Brian,Sedgemore,Lab
1216,Andrew,Selous,Con
1217,Jonathan,R Shaw,Lab
1218,Barry,Sheerman,Lab
1219,Gillian,Shephard,Con
1220,Richard,Shepherd,Con
1221,Jim,Sheridan,Lab
1222,Debra,Shipley,Lab
1223,Clare,Short,Lab
1224,Mark,Simmonds,Con
1225,Si&ocirc;n,Simon,Lab
1226,Alan,Simpson,Lab
1227,Keith,Simpson,Con
1228,Marsha,Singh,Lab
1229,Dennis,Skinner,Lab
1230,Andrew,Smith,Lab
1231,Angela,Smith,Lab
1232,Chris,Smith,Lab
1233,Geraldine,Smith,Lab
1234,Jacqui,Smith,Lab
1235,John,Smith,Lab
1236,Llew,Smith,Lab
1237,Robert,Smith,LDem
1238,Martin,Smyth,UUP
1239,Nicholas,Soames,Con
1240,Clive,Soley,Lab
1241,Helen,Southworth,Lab
1242,John,Spellar,Lab
1243,Caroline,Spelman,Con
1244,Michael,Spicer,Con
1245,Bob,Spink,Con
1246,Richard,Spring,Con
1247,Rachel,Squire,Lab
1248,John,Stanley,Con
1249,Phyllis,Starkey,Lab
1250,Anthony,Steen,Con
1251,Gerry,Steinberg,Lab
1252,George,Stevenson,Lab
1253,David,Stewart,Lab
1254,Ian,Stewart,Lab
1255,Paul,Stinchcombe,Lab
1256,Howard,Stoate,Lab
1257,Gavin,Strang,Lab
1258,Jack,Straw,Lab
1259,Gary,Streeter,Con
1260,Graham,Stringer,Lab
1261,Gisela,Stuart,Lab
1262,Andrew,Stunell,LDem
1263,Gerry,Sutcliffe,Lab
1264,Desmond,Swayne,Con
1265,Hugo,Swire,Con
1266,Robert,Syms,Con
1267,Mark,Tami,Lab
1268,Peter,Tapsell,Con
1269,Ann,Taylor,Lab
1270,Dari,Taylor,Lab
1271,David,Taylor,Lab
1272,Ian,Taylor,Con
1273,John,Taylor,Con
1274,Matthew,Taylor,LDem
1275,Richard,Taylor,Independent
1276,Teddy,Taylor,Con
1277,Gareth,Thomas,Lab
1278,Gareth,Thomas,Lab
1279,Simon,Thomas,PC
1280,John,Thurso,LDem
1281,Stephen,Timms,Lab
1282,Paddy,Tipping,Lab
1283,Mark,Todd,Lab
1284,Jenny,Tonge,LDem
1285,Don,Touhig,Lab
1286,David,Tredinnick,Con
1287,Michael,Trend,Con
1288,Jon,Trickett,Lab
1289,David,Trimble,UUP
1290,Paul,Truswell,Lab
1291,Andrew,Turner,Con
1292,Dennis,Turner,Lab
1293,Desmond,Turner,Lab
1294,Neil,Turner,Lab
1295,Derek,Twigg,Lab
1296,Stephen,Twigg,Lab
1297,Paul,Tyler,LDem
1298,Bill,Tynan,Lab
1299,Andrew,Tyrie,Con
1300,Keith,Vaz,Lab
1301,Peter,Viggers,Con
1302,Rudi,Vis,Lab
1303,Joan,Walley,Lab
1304,Robert,Walter,Con
1305,Claire,Ward,Lab
1306,Robert,Wareing,Lab
1307,Nigel,Waterson,Con
1308,Angela,Watkinson,Con
1309,Tom,Watson,Lab
1310,Dave,Watts,Lab
1311,Steve,Webb,LDem
1312,Michael,Weir,SNP
1313,Brian,White,Lab
