Story ID	Ranking	Subject (What)	Event Initiator	Tone
526	1	386	15	24
526	1	133	15	32
527	1	453	69	24
527	M	450	69	24
527	M	442	71	32
528	1	243	37	29
529	1	350	11	25
529	1	241	11	17
530	1	284	74	31
530	1	273	74	17
530	M	270	17	25
530	S	176	63	17
531	S	265	15	28
532	1	148	53	24
532	S	139	53	18
533	1	241	11	25
533	1	300	53	32
533	1	350	11	25
534	1	16	24	19
534	M	72	71	40
534	S	48	14	19
535	1	243	37	29
535	1	244	37	21
536	1	284	17	25
536	1	273	74	25
536	1	292	74	25
537	1	90	09	40
537	M	433	74	27
537	M	1	71	40
538	1	430	01	26
538	M	21	01	34
539	1	246	37	29
539	S	138	37	24
540	1	435	53	19
540	M	400	53	19
540	M	433	53	27
542	1	98	11	25
542	S	231	11	25
543	1	27	01	26
543	M	60	01	34
543	M	94	01	26
543	S	100	01	34
544	1	17	03	33
544	M	14	03	19
544	M	469	03	39
544	M	131	03	33
545	1	999	53	99
545	M	13	53	32
545	S	60	53	32
545	S	64	53	24
546	1	386	09	34
546	M	384	09	34
547	1	290	09	24
548	1	386	17	24
548	1	291	17	24
549	1	396	11	25
549	M	386	11	25
550	1	483	19	31
550	1	386	19	27
551	1	440	03	33
551	M	446	03	33
552	1	483	19	23
552	1	292	09	26
552	S	289	53	23
553	1	174	59	18
553	M	141	59	10
553	M	143	59	18
553	M	138	59	18
553	M	15	59	18
554	1	483	19	23
554	M	51	19	31
555	1	483	19	31
555	M	124	19	26
555	M	292	19	31
556	1	451	15	23
556	1	483	15	23
557	1	351	11	25
557	M	241	11	25
560	1	351	11	25
560	M	303	11	25
561	1	243	37	29
562	1	350	11	05
563	1	148	53	40
563	M	408	53	40
563	M	134	53	48
563	M	137	53	40
563	M	131	53	40
563	M	392	53	40
563	S	282	53	26
563	S	324	53	32
564	1	1	01	32
564	M	45	01	32
564	M	27	01	34
565	1	26	03	25
566	1	1	03	25
566	M	29	03	25
566	M	90	71	25
566	M	13	74	24
567	1	231	11	33
567	S	356	11	25
568	1	1	71	33
569	1	483	19	31
569	M	51	19	31
570	1	16	24	19
570	M	48	14	19
574	1	26	03	33
575	1	420	11	25
576	1	284	17	25
576	1	273	74	25
577	M	165	71	40
577	M	131	71	40
578	1	292	15	28
578	M	291	74	24
578	M	386	15	28
580	1	434	09	19
580	M	403	09	19
581	M	435	13	27
581	M	90	09	27
581	M	14	13	27
582	1	483	19	27
582	M	433	19	27
582	M	174	59	24
582	S	136	59	24
584	1	241	11	17
584	1	350	11	25
584	M	360	11	17
585	1	243	37	29
585	1	244	37	21
586	1	360	53	33
586	M	242	53	25
586	M	241	53	25
588	1	163	11	25
588	S	165	71	32
589	1	243	37	05
590	1	396	11	01
591	1	172	53	07
593	1	187	53	40
593	M	131	53	40
593	M	394	53	40
594	1	243	53	13
595	1	284	53	15
595	M	273	53	23
596	1	11	03	33
596	S	2	71	40
597	1	356	11	33
597	M	19	11	33
598	1	5	03	41
598	1	11	03	41
598	M	2	71	48
599	1	16	24	19
599	M	18	24	19
599	S	72	01	40
599	S	2	01	40
600	1	11	71	40
600	1	2	71	40
600	M	64	03	33
601	1	37	09	19
602	1	16	75	19
604	1	11	03	33
604	M	14	05	27
604	S	29	03	32
604	M	384	74	19
605	1	29	53	32
605	1	384	53	19
605	1	14	05	27
606	1	148	11	41
606	M	131	11	41
606	M	134	11	41
606	M	356	11	33
606	M	392	11	41
607	1	187	53	33
607	M	148	53	33
607	M	392	53	33
608	1	284	53	15
608	1	273	53	15
608	1	274	53	15
608	S	325	53	15
609	1	64	53	19
609	1	386	53	20
610	1	273	53	23
611	1	356	75	33
611	S	420	75	33
612	1	356	65	25
612	M	300	65	25
612	M	420	65	25
613	1	430	01	19
613	M	21	01	26
613	M	2	01	34
615	1	396	49	01
616	1	394	71	08
616	1	51	71	08
617	1	186	53	15
617	M	284	53	15
617	M	273	53	15
617	M	302	53	24
632	M	148	74	24
647	S	21	53	26
618	1	284	17	23
618	M	133	17	23
619	1	2	71	24
619	M	134	11	25
619	M	148	11	25
619	M	26	03	33
620	1	1	71	40
620	M	2	71	40
620	M	5	71	40
620	S	37	05	19
620	S	3	02	24
622	1	5	71	40
622	S	37	05	19
622	S	420	11	25
623	1	91	01	32
623	1	2	01	32
624	1	2	01	32
624	M	166	13	27
624	M	226	01	24
624	S	466	52	07
625	1	1	05	40
625	M	14	05	27
625	M	11	01	40
626	1	148	11	33
626	M	356	11	33
626	M	131	11	33
626	M	134	11	33
626	M	392	11	41
626	S	231	11	25
627	M	187	53	25
627	M	148	53	16
627	M	234	53	24
628	1	148	53	16
630	1	284	17	25
630	1	273	74	25
630	M	320	11	25
631	1	1	53	40
631	M	11	53	40
631	S	14	53	27
631	S	102	53	27
632	1	291	17	24
632	S	288	15	24
632	1	265	41	29
632	M	483	19	24
632	M	243	37	37
633	1	29	03	25
633	1	384	03	27
634	1	370	53	18
634	1	430	09	27
634	M	2	01	26
634	M	21	01	26
635	1	166	13	27
635	1	430	13	27
636	1	435	53	11
636	M	400	53	11
637	1	370	53	10
637	S	143	53	10
638	1	254	39	29
639	1	465	52	40
639	1	400	52	19
639	M	289	52	23
639	M	483	52	23
640	1	394	01	02
640	1	51	01	02
641	1	172	53	07
642	1	2	71	32
642	1	11	71	32
643	1	1	71	40
643	M	2	01	40
643	M	5	71	40
643	S	284	17	23
644	1	2	01	40
645	1	11	03	33
645	S	2	71	40
645	M	38	03	33
645	S	19	03	33
647	M	430	53	26
647	M	100	53	26
647	M	405	53	26
647	M	370	53	34
648	1	1	53	32
648	M	124	53	32
648	S	64	53	32
650	1	430	09	34
650	1	100	09	26
650	M	2	01	26
651	1	466	53	07
651	1	2	01	26
651	M	430	01	19
651	S	166	53	19
645	S	82	53	19
655	S	386	53	19
652	1	226	02	26
652	1	232	13	19
653	M	11	53	33
653	M	163	53	33
653	M	148	53	33
655	1	400	53	11
655	1	433	53	11
655	M	9	53	11
656	1	243	37	21
656	S	244	37	21
657	1	396	11	01
658	1	483	19	19
659	1	435	27	27
659	1	166	27	27
659	1	430	27	27
660	1	164	53	18
660	M	170	53	18
660	M	160	53	26
660	M	72	53	18
661	1	1	71	40
661	M	11	71	40
661	M	2	01	26
661	M	94	09	26
661	S	16	09	19
662	1	2	01	24
662	S	466	52	24
662	S	394	53	18
663	1	90	09	26
663	1	2	01	26
663	1	100	09	26
663	M	430	09	26
663	M	91	74	32
663	M	1	71	40
665	1	148	11	33
665	M	356	11	33
665	M	131	11	33
665	M	134	11	33
665	M	392	11	33
666	1	79	11	17
666	1	78	11	17
666	M	231	11	17
667	1	2	01	18
667	1	466	01	18
667	M	430	01	18
668	1	51	07	31
668	M	483	19	24
669	1	14	05	27
669	M	384	74	27
669	M	483	19	07
670	1	291	17	24
670	M	290	74	32
670	M	483	19	24
670	M	148	74	32
671	1	241	11	17
671	M	356	11	33
671	M	450	11	17
672	1	483	19	31
674	1	164	53	18
674	1	166	53	19
674	1	370	53	18
674	1	435	53	19
675	1	164	09	26
676	1	370	53	18
676	S	394	53	18
676	S	407	53	26
676	S	291	53	18
676	S	91	53	26
678	1	243	37	29
679	1	265	41	29
679	M	264	41	29
679	M	262	41	29
679	M	254	39	29
680	1	148	29	24
680	1	303	29	24
681	1	300	53	24
681	M	386	53	19
681	S	396	53	31
682	M	64	01	32
682	M	243	37	29
682	M	300	53	32
683	1	284	17	25
683	1	320	17	31
683	1	273	74	25
683	M	290	11	25
684	1	483	19	23
684	1	289	11	32
684	S	51	74	31
685	1	383	15	18
685	M	133	15	24
686	1	72	01	26
686	M	16	01	26
667	S	166	13	19
686	1	164	01	26
687	1	168	51	07
688	1	51	01	18
689	1	396	49	01
690	1	396	11	25
690	M	386	11	25
690	M	351	11	25
691	1	396	75	25
691	1	386	75	25
692	1	148	53	32
692	M	133	53	24
692	M	131	53	40
692	S	142	53	18
693	1	1	71	40
693	M	11	71	40
693	M	2	01	32
693	S	37	09	19
694	1	2	01	26
694	1	466	52	31
694	M	166	13	27
695	1	148	11	33
695	S	131	11	33
695	M	394	11	33
696	1	243	37	29
697	1	284	17	25
697	1	273	74	25
697	M	453	17	31
698	1	1	09	26
698	M	2	09	26
698	M	9	09	34
698	S	37	09	19
701	1	1	71	33
701	M	45	71	33
701	M	37	05	19
702	1	1	74	32
702	M	10	71	32
702	M	14	05	27
702	M	384	74	32
703	1	186	53	19
704	1	2	09	26
704	1	9	09	26
704	1	430	09	26
704	M	94	53	26
704	S	166	13	27
705	1	91	74	32
705	M	90	01	32
705	M	430	01	32
705	S	276	53	17
706	1	64	05	27
706	M	14	05	27
706	S	384	74	32
707	1	430	09	26
707	1	83	09	26
707	M	999	09	26
708	1	483	19	31
708	M	290	19	31
