ID	Source
63	522
64	783
64	802
67	640
68	817
68	694
68	532
69	907
69	600
72	773
72	509
74	526
74	867
78	620
78	514
78	790
78	801
78	502
79	620
79	801
79	502
79	783
82	503
82	526
82	867
82	506
82	505
82	512
82	521
83	999
86	680
86	522
90	846
91	600
92	600
94	525
95	600
95	805
96	540
99	532
99	601
103	998
104	998
109	600
109	500
110	509
112	832
112	801
121	866
121	522
121	774
121	697
122	600
123	802
123	602
123	608
123	514
123	801
123	842
125	540
125	998
126	802
126	621
126	805
126	518
126	620
128	832
130	999
130	540
143	620
143	500
143	540
143	518
143	832
143	805
143	526
143	525
143	801
148	780
148	620
148	532
150	664
153	784
154	998
156	540
156	833
158	999
158	500
159	514
160	612
161	545
161	868
161	507
161	504
162	801
162	509
162	526
163	514
164	901
164	525
166	783
166	884
166	886
166	780
166	804
166	620
166	907
168	526
168	531
169	791
169	907
170	526
170	620
170	781
170	600
170	802
170	801
170	784
172	889
172	764
172	600
174	518
174	532
174	616
176	514
176	924
176	525
176	512
176	502
176	504
176	503
176	998
177	832
178	640
178	998
178	620
178	612
178	532
178	621
179	620
179	525
179	621
183	783
183	780
185	801
185	500
185	525
192	614
192	774
194	693
194	501
195	677
197	583
197	999
197	784
201	889
201	600
201	619
201	610
202	920
203	832
203	540
204	509
204	608
204	512
204	803
204	780
204	500
204	600
204	832
205	677
205	680
206	600
216	832
216	525
216	534
218	998
219	532
219	600
219	620
219	512
220	620
223	616
223	518
223	656
223	884
223	886
223	999
223	532
223	783
225	665
225	765
226	600
226	801
226	509
226	525
227	514
227	525
228	998
228	608
228	803
228	640
229	527
229	570
230	500
233	693
235	889
236	526
236	784
236	774
236	600
236	803
236	804
244	780
245	600
245	872
248	640
250	543
251	555
256	999
260	803
265	509
267	600
270	509
275	790
276	774
276	608
281	509
281	500
281	540
282	781
286	640
286	518
287	803
287	804
287	791
289	580
292	620
292	512
292	667
293	502
293	764
293	525
293	693
294	512
294	543
295	843
300	620
300	600
300	623
301	612
302	649
305	600
306	500
307	526
307	640
307	801
307	803
307	804
309	512
309	500
310	500
312	514
312	526
312	502
312	543
312	924
312	527
317	887
317	612
317	774
317	608
317	891
322	620
322	791
322	790
323	847
323	833
323	773
324	600
324	999
326	842
326	635
326	603
326	619
328	792
330	550
330	580
330	591
333	733
333	631
334	847
334	843
334	833
336	901
336	660
336	641
337	774
338	790
339	527
339	527
339	527
339	555
340	500
341	543
342	526
344	543
344	573
345	573
348	509
351	640
351	781
351	782
352	774
352	677
353	600
353	664
354	999
354	820
356	847
356	500
360	612
361	998
361	664
369	502
369	998
369	500
370	920
370	998
371	640
371	803
261	998
337	667
1190	677
1190	998
1190	764
1192	903
1192	643
1193	645
1193	765
1193	850
1193	872
1194	998
1194	905
1195	850
1196	620
1198	656
1198	643
1198	998
1198	602
1198	612
1199	543
1199	500
1201	731
1201	533
1201	710
1201	739
1202	998
1202	620
1202	656
1203	620
1203	849
1204	656
1204	677
1204	500
1204	861
1206	677
1206	693
1206	652
1206	640
1206	998
1207	612
1209	998
1210	697
1211	873
1213	850
1214	693
1215	998
1217	522
1219	656
1219	640
1220	531
1220	872
1221	620
1221	612
1221	526
1221	692
1221	998
1221	656
1221	907
1221	677
1221	910
1221	670
1221	861
1221	512
1221	696
1224	901
1224	677
1226	998
1226	850
1226	908
1226	649
1227	681
1228	873
1228	832
1228	645
1228	690
1228	677
1228	998
1228	680
1228	620
1228	602
1228	901
1228	656
1228	850
1229	998
1229	677
1229	526
1229	531
1229	522
1230	522
1231	860
1231	764
1232	998
1232	676
1232	677
1233	863
1233	612
1237	580
1238	998
1238	623
1238	656
1240	664
1240	903
1240	665
1240	998
1241	998
1241	888
1241	907
1241	676
1241	656
1241	782
1242	739
1244	656
1244	670
174	999
1245	600
1245	514
1245	656
1246	649
1246	645
1248	908
1249	721
1251	681
1251	697
1251	522
1251	873
1251	998
