ID	Reporting restrictions
1226	None mentioned
1227	None mentioned
1228	None mentioned
1229	None mentioned
1230	None mentioned
1231	None mentioned
1232	None mentioned
1233	None mentioned
1236	None mentioned
1237	None mentioned
1238	None mentioned
1239	None mentioned
1240	None mentioned
1241	None mentioned
1242	None mentioned
1244	None mentioned
1245	None mentioned
274	None mentioned
1246	None mentioned
1247	‘Embedded’ reporter
1248	None mentioned
1249	None mentioned
1250	None mentioned
1251	None mentioned
1252	None mentioned
1253	None mentioned
1254	None mentioned
1255	None mentioned
1256	None mentioned
1257	None mentioned
1258	None mentioned
1259	None mentioned
1260	None mentioned
1261	None mentioned
1262	‘Embedded’ reporter
1263	None mentioned
1264	None mentioned
1265	None mentioned
1266	None mentioned
1267	None mentioned
1268	None mentioned
1269	None mentioned
1270	None mentioned
1271	None mentioned
1272	None mentioned
1273	None mentioned
1274	None mentioned
1275	None mentioned
1277	None mentioned
1278	None mentioned
1279	None mentioned
1280	None mentioned
1281	None mentioned
1282	‘Embedded’ reporter
1283	‘Embedded’ reporter
1285	None mentioned
1286	None mentioned
1287	None mentioned
1288	None mentioned
1289	None mentioned
1290	None mentioned
1291	None mentioned
1292	None mentioned
1293	None mentioned
1294	None mentioned
1295	None mentioned
1296	None mentioned
1297	None mentioned
1298	None mentioned
1299	None mentioned
1300	None mentioned
1301	None mentioned
1302	‘Embedded’ reporter
1303	‘Embedded’ reporter
1304	None mentioned
1305	None mentioned
1306	None mentioned
1307	None mentioned
1308	None mentioned
1309	‘Embedded’ reporter
1310	None mentioned
1311	None mentioned
1312	None mentioned
1313	None mentioned
1314	None mentioned
1315	None mentioned
1316	None mentioned
1317	None mentioned
1319	‘Embedded’ reporter
1320	None mentioned
1321	None mentioned
1322	None mentioned
1323	None mentioned
1324	None mentioned
1327	None mentioned
1329	None mentioned
1330	None mentioned
1331	None mentioned
1332	None mentioned
1333	None mentioned
1334	None mentioned
1335	None mentioned
1336	None mentioned
1337	None mentioned
1338	None mentioned
1339	None mentioned
1340	None mentioned
1341	None mentioned
1342	None mentioned
1343	None mentioned
1344	None mentioned
1345	None mentioned
1346	None mentioned
1347	None mentioned
1348	None mentioned
1349	None mentioned
1350	None mentioned
1351	None mentioned
1352	None mentioned
1354	None mentioned
1355	None mentioned
1356	None mentioned
