ID	1 - Subject of photo	2 - Event Initiator	3 - Alternative source credited?	4 - Size of Photo
659	351	13	Iraqi State TV/ media	M
661	007	01	EPA	L
663	285	09	N/A no other source	S
663	036	01	N/A no other source	S
663	007	01	N/A no other source	M
663	300	09	N/A no other source	S
663	351	13	N/A no other source	S
663	120	54	N/A no other source	S
663	241	53	N/A no other source	M
663	290	11	N/A no other source	S
663	053	01	N/A no other source	S
663	026	03	N/A no other source	M
663	241	53	N/A no other source	M
663	241	53	N/A no other source	M
667	007	01	AP	M
669	049	01	AP	S
670	232	17	AP	M
672	400	75	AP	S
674	300	09	N/A no other source	S
674	351	13	N/A no other source	S
679	202	41	Getty Images	S
679	203	41	AP	M
680	251	29	N/A no other source	S
681	999	75	N/A no other source	M
683	230	17	AP	M
686	041	01	N/A no other source	M
686	041	01	N/A no other source	M
688	059	01	N/A no other source	M
688	241	53	N/A no other source	S
689	999	49	Reuters	M
691	312	75	Getty Images	S
693	007	01	EPA	L
694	403	53	N/A no other source	S
696	200	37	N/A no other source	M
702	062	01	N/A no other source	M
702	049	03	N/A no other source	S
703	241	53	Space Imaging	M
703	241	53	Space Imaging	S
703	241	53	Space Imaging	S
703	241	53	Space Imaging	S
703	241	53	Space Imaging	S
703	241	53	Space Imaging	S
704	007	01	EPA	S
709	202	41	EPA	L
710	203	41	AP	M
712	351	13	N/A no other source	S
715	999	75	N/A no other source	M
718	059	01	AP	M
720	062	71	N/A no other source	M
724	007	01	EPA	L
727	063	71	Reuters	M
730	062	53	N/A no other source	M
730	241	53	N/A no other source	M
732	062	71	AP	M
733	241	53	N/A no other source	S
735	026	03	UK Military/ Government	M
738	300	09	EPA	L
738	300	09	AP	S
739	241	53	N/A no other source	M
741	049	03	N/A no other source	S
746	251	35	N/A no other source	M
747	200	37	PA	M
750	202	41	EPA	M
752	403	53	N/A no other source	M
755	364	52	N/A no other source	L
757	364	52	N/A no other source	S
758	351	13	N/A no other source	M
758	351	13	N/A no other source	M
760	999	75	PA	M
766	007	01	N/A no other source	L
768	038	03	N/A no other source	M
771	038	03	Reuters	M
771	053	01	Reuters	S
772	036	01	PA	M
776	241	53	N/A no other source	L
778	351	13	N/A no other source	S
778	007	01	AFP	M
780	049	71	N/A no other source	L
784	300	09	AP	L
787	232	17	Reuters	M
790	038	03	N/A no other source	M
793	281	11	AP	S
796	200	37	N/A no other source	S
798	283	29	N/A no other source	M
802	007	71	N/A no other source	XL
803	007	71	N/A no other source	M
803	007	71	N/A no other source	M
803	007	71	N/A no other source	M
803	007	71	N/A no other source	M
804	241	53	N/A no other source	XL
804	078	53	N/A no other source	S
810	026	03	N/A no other source	XL
810	030	03	N/A no other source	S
811	134	01	N/A no other source	XL
811	135	24	N/A no other source	S
812	034	71	N/A no other source	S
815	113	55	N/A no other source	S
816	290	11	N/A no other source	S
816	182	72	EPA	XL
817	232	17	N/A no other source	S
818	182	65	N/A no other source	S
820	053	03	N/A no other source	S
820	026	03	N/A no other source	S
820	152	03	N/A no other source	S
820	135	06	N/A no other source	S
820	135	06	N/A no other source	XL
820	135	06	N/A no other source	S
820	135	06	N/A no other source	S
820	152	03	N/A no other source	S
821	351	13	N/A no other source	M
822	054	01	N/A no other source	M
827	370	01	N/A no other source	XL
828	007	01	Reuters	XL
830	007	01	N/A no other source	XL
830	007	01	N/A no other source	S
830	036	01	Reuters	S
831	281	12	N/A no other source	S
831	281	12	N/A no other source	S
831	281	12	N/A no other source	S
831	281	12	N/A no other source	S
833	059	01	Reuters	L
833	059	01	Reuters	S
835	144	52	Reuters	L
835	061	53	N/A no other source	S
836	059	05	N/A no other source	S
838	351	13	Iraqi State TV/ media	S
