ID	1 - Subject of visual	2 - Event Initiator	3 - Alternative source credited?
232	371	52	N/A no other source
233	039	01	N/A no other source
233	062	71	N/A no other source
233	038	03	N/A no other source
233	053	71	N/A no other source
233	063	06	N/A no other source
235	061	03	UK Military/ Government
236	059	05	N/A no other source
236	058	72	Iraqi State TV/ media
236	371	52	Iraqi State TV/ media
236	351	13	Iraqi State TV/ media
236	002	71	N/A no other source
236	007	71	N/A no other source
236	008	05	N/A no other source
237	351	13	Iraqi State TV/ media
238	341	66	N/A no other source
238	130	13	Al Jazeera
238	130	13	Iraqi State TV/ media
238	172	22	N/A no other source
238	287	75	N/A no other source
239	033	74	N/A no other source
239	032	71	N/A no other source
239	241	53	N/A no other source
239	071	01	N/A no other source
239	062	71	N/A no other source
239	034	74	N/A no other source
239	053	71	N/A no other source
241	280	11	N/A no other source
241	290	11	N/A no other source
242	119	54	N/A no other source
242	280	11	N/A no other source
242	112	53	N/A no other source
243	402	75	N/A no other source
243	201	39	N/A no other source
243	201	75	N/A no other source
244	241	53	N/A no other source
244	054	72	N/A no other source
244	046	72	N/A no other source
244	371	52	N/A no other source
244	372	52	N/A no other source
244	062	71	N/A no other source
244	056	71	N/A no other source
244	018	71	N/A no other source
244	002	71	N/A no other source
244	015	72	N/A no other source
244	038	71	N/A no other source
244	135	71	N/A no other source
244	057	05	N/A no other source
245	054	01	Other Arab media (not specific reporter)
245	053	01	N/A no other source
245	135	24	N/A no other source
245	034	01	N/A no other source
248	006	74	N/A no other source
248	351	13	Iraqi State TV/ media
248	372	52	N/A no other source
248	288	13	Al Jazeera
248	002	01	N/A no other source
248	007	01	N/A no other source
248	054	72	N/A no other source
248	144	72	N/A no other source
249	130	02	Al Jazeera
250	130	13	Al Jazeera
250	242	53	N/A no other source
250	135	24	UK Military/ Government
250	365	69	N/A no other source
250	091	53	N/A no other source
250	288	13	N/A no other source
250	136	01	N/A no other source
252	241	53	N/A no other source
252	071	01	N/A no other source
253	170	02	N/A no other source
253	171	02	N/A no other source
253	058	23	Iraqi State TV/ media
253	371	52	Iraqi State TV/ media
253	062	03	N/A no other source
253	042	05	N/A no other source
253	350	13	N/A no other source
253	288	13	N/A no other source
254	179	66	N/A no other source
254	170	02	N/A no other source
254	402	75	N/A no other source
254	201	75	N/A no other source
254	287	75	N/A no other source
256	290	11	N/A no other source
257	999	30	N/A no other source
257	200	37	N/A no other source
259	241	53	N/A no other source
259	016	03	N/A no other source
259	062	03	N/A no other source
259	038	03	N/A no other source
259	054	03	Abu Dhabi
259	071	03	N/A no other source
263	024	03	N/A no other source
263	039	02	N/A no other source
263	063	05	N/A no other source
263	056	03	N/A no other source
263	144	52	N/A no other source
263	059	03	N/A no other source
263	052	03	N/A no other source
263	241	53	N/A no other source
263	037	72	N/A no other source
265	371	52	N/A no other source
265	177	52	N/A no other source
