Story ID	Ranking	Subject (Whom)	Tone
97	P	620	Straight
97	S	850	Straight
97	P	901	Straight
97	P	906	Straight
98	M	640	Straight
98	M	774	Straight
98	P	500	Straight
1	M	500	Straight
1	P	697	Straight
1	M	540	Straight
1	P	600	Straight
1	M	512	Straight
1	P	640	Straight
1	S	801	Straight
1	P	783	Straight
1	M	509	Straight
1	S	543	Straight
1	S	527	Straight
1	P	503	Straight
2	M	512	Mixed
2	P	780	Straight
2	P	801	Straight
2	P	640	Straight
2	S	781	Straight
2	M	540	Straight
2	M	509	Straight
2	S	500	Straight
2	P	867	Straight
2	P	792	Straight
2	P	620	Straight
2	P	783	Straight
2	P	999	Straight
3	M	600	Deflating
3	S	603	Straight
3	S	601	Mixed
3	S	532	Straight
3	S	801	Straight
3	S	780	Straight
3	S	783	Straight
3	P	640	Straight
3	P	608	Straight
3	S	500	Straight
3	S	645	Straight
2	S	645	Straight
3	P	883	Straight
3	P	681	Straight
3	P	845	Straight
3	P	677	Straight
3	P	660	Straight
3	P	999	Straight
4	M	801	Straight
4	P	620	Straight
4	P	526	Straight
4	P	790	Straight
4	P	929	Straight
5	M	801	Straight
5	M	532	Straight
5	P	783	Straight
5	P	620	Straight
6	M	850	Straight
6	S	640	Straight
6	P	783	Straight
6	P	906	Straight
6	P	782	Straight
6	P	818	Straight
6	P	802	Straight
6	P	801	Straight
6	P	648	Straight
6	S	901	Straight
6	P	620	Straight
6	P	804	Straight
7	S	906	Straight
7	S	849	Straight
7	P	802	Straight
7	S	850	Straight
7	S	763	Straight
7	S	640	Straight
7	S	901	Straight
7	P	649	Straight
8	P	801	Straight
8	P	803	Straight
8	M	525	Straight
8	M	784	Straight
8	M	774	Straight
8	P	999	Straight
8	S	640	Straight
8	S	600	Straight
8	S	500	Straight
8	S	783	Straight
8	P	649	Straight
8	P	503	Straight
8	P	501	Straight
8	P	761	Straight
345	S	730	Straight
345	S	733	Straight
99	M	772	Straight
99	S	640	Straight
99	P	697	Straight
99	P	681	Straight
99	P	868	Straight
99	P	623	Straight
99	S	612	Straight
99	P	649	Straight
99	P	850	Straight
100	M	600	Straight
100	M	640	Straight
100	S	620	Straight
100	S	681	Straight
100	P	649	Straight
100	P	607	Straight
100	S	623	Straight
100	P	645	Straight
100	M	602	Straight
101	M	500	Straight
101	P	512	Straight
101	S	501	Straight
101	S	866	Straight
101	S	555	Straight
101	S	503	Straight
101	S	730	Straight
101	P	693	Straight
101	P	514	Straight
101	P	697	Straight
101	P	850	Straight
102	P	901	Straight
102	P	640	Straight
102	M	681	Straight
102	P	693	Straight
102	S	697	Straight
102	P	612	Straight
103	M	730	Straight
103	S	533	Straight
103	P	731	Straight
104	M	730	Straight
104	P	830	Straight
105	M	512	Straight
105	M	999	Straight
106	M	736	Straight
106	S	791	Straight
106	M	804	Straight
106	M	739	Straight
