ID	Coding frame used	Tone
720	Restoration of law and order (post-conflict)	32
721	Not applicable	
722	Not applicable	
723	Not applicable	
724	Restoration of law and order (post-conflict)	18
725	Restoration of law and order (post-conflict)	24
725	Justification: Humanitarian (Blairite)	32
726	Justification: Humanitarian (Blairite)	19
727	Restoration of law and order (post-conflict)	18
728	Restoration of law and order (post-conflict)	24
729	Not applicable	
730	Battle	32
730	Justification: WMDs	32
545	Not applicable	
732	Restoration of law and order (post-conflict)	32
733	Restoration of law and order (post-conflict)	26
734	Restoration of law and order (post-conflict)	24
735	Civilian casualties	32
735	Restoration of law and order (post-conflict)	32
736	Restoration of law and order (post-conflict)	17
736	Humanitarian issues (aid delivery)	17
737	Restoration of law and order (post-conflict)	26
738	Restoration of law and order (post-conflict)	25
739	Restoration of law and order (post-conflict)	32
740	Not applicable	
741	Not applicable	
742	Not applicable	
743	Not applicable	
744	Restoration of law and order (post-conflict)	18
745	Battle	34
745	Restoration of law and order (post-conflict)	18
746	Restoration of law and order (post-conflict)	26
747	Justification: Humanitarian (Blairite)	32
747	Restoration of law and order (post-conflict)	26
748	Restoration of law and order (post-conflict)	25
749	Not applicable	
750	Not applicable	
751	Not applicable	
752	Restoration of law and order (post-conflict)	26
753	Restoration of law and order (post-conflict)	26
754	Battle	26
755	Restoration of law and order (post-conflict)	18
756	Not applicable	
757	Not applicable	
758	Battle	26
758	Restoration of law and order (post-conflict)	18
759	Justification: WMDs	35
760	Restoration of law and order (post-conflict)	26
760	Justification: WMDs	26
761	Restoration of law and order (post-conflict)	26
762	Strategy	26
763	Not applicable	
764	Restoration of law and order (post-conflict)	17
764	Justification: Humanitarian (Blairite)	19
765	Not applicable	
766	Battle	40
767	Not applicable	
768	Restoration of law and order (post-conflict)	31
769	Not applicable	
770	Not applicable	
771	Justification: Humanitarian (Blairite)	40
771	Restoration of law and order (post-conflict)	18
772	Civilian casualties	24
772	Humanitarian issues (aid delivery)	24
773	Not applicable	
774	Not applicable	
775	Not applicable	
776	Restoration of law and order (post-conflict)	26
777	Battle	34
777	Justification: Humanitarian (Blairite)	40
778	Battle	40
779	Justification: War on Terror	32
780	Not applicable	
781	Not applicable	
782	Restoration of law and order (post-conflict)	26
783	Humanitarian issues (aid delivery)	17
783	Civilian casualties	24
784	Not applicable	
785	Coalition military casualties	17
786	Not applicable	
787	Justification: Humanitarian (Blairite)	11
788	Restoration of law and order (post-conflict)	32
788	Justification: Humanitarian (Blairite)	19
789	Battle	34
790	Humanitarian issues (aid delivery)	24
791	Civilian casualties	07
792	Not applicable	
793	Coalition military casualties	25
794	Not applicable	
795	Not applicable	
796	Not applicable	
797	Justification: Humanitarian (Blairite)	11
798	Strategy	32
799	Strategy	40
800	Not applicable	
801	Battle	34
802	Humanitarian issues (aid delivery)	32
802	Civilian casualties	32
803	Not applicable	
804	Not applicable	
805	Coalition military casualties	17
806	Civilian casualties	32
807	Not applicable	
808	Not applicable	
809	Humanitarian issues (aid delivery)	24
809	Restoration of law and order (post-conflict)	24
810	Humanitarian issues (aid delivery)	26
811	Civilian casualties	08
812	Not applicable	
813	Not applicable	
814	Not applicable	
815	Not applicable	
816	Coalition military casualties	25
817	Civilian casualties	32
818	Civilian casualties	32
819	Civilian casualties	18
820	Not applicable	
821	Not applicable	
822	Not applicable	
823	Coalition military casualties	25
824	Coalition military casualties	17
825	Civilian casualties	32
825	Humanitarian issues (aid delivery)	31
826	Not applicable	
827	Restoration of law and order (post-conflict)	26
828	Justification: War on Terror	26
829	Not applicable	
830	Civilian casualties	08
831	Not applicable	
832	Restoration of law and order (post-conflict)	26
833	Restoration of law and order (post-conflict)	18
833	Justification: Humanitarian (Blairite)	18
834	Restoration of law and order (post-conflict)	34
835	Civilian casualties	32
836	Not applicable	
837	Not applicable	
838	Not applicable	
839	Justification: War on Terror	34
840	Not applicable	
841	Not applicable	
842	Restoration of law and order (post-conflict)	26
842	Civilian casualties	26
833	Civilian casualties	18
843	Restoration of law and order (post-conflict)	34
844	Civilian casualties	32
845	Justification: War on Terror	26
846	Not applicable	
847	Not applicable	
848	Justification: Humanitarian (Blairite)	19
849	Civilian casualties	32
850	Not applicable	
851	Not applicable	
852	Not applicable	
853	Civilian casualties	26
853	Justification: Humanitarian (Blairite)	40
854	Humanitarian issues (aid delivery)	31
855	Justification: Humanitarian (Blairite)	19
856	Justification: Humanitarian (Blairite)	11
857	Justification: WMDs	32
858	Restoration of law and order (post-conflict)	18
859	Not applicable	
860	Not applicable	
861	Justification: Humanitarian (Blairite)	26
862	Not applicable	
863	Not applicable	
864	Not applicable	
865	Civilian casualties	26
866	Justification: Humanitarian (Blairite)	26
867	Not applicable	
868	Not applicable	
869	Restoration of law and order (post-conflict)	33
870	Not applicable	
871	Not applicable	
872	Battle	40
873	Not applicable	
874	Battle	33
875	Strategy	33
876	Battle	33
877	Battle	34
877	Coalition military casualties	26
878	Coalition military casualties	18
879	Coalition military casualties	08
880	Battle	34
881	Civilian casualties	18
882	Battle	40
883	Battle	32
884	Battle	40
885	Not applicable	
886	Battle	33
887	Battle	33
888	Battle	40
889	Battle	34
890	Not applicable	
891	Not applicable	
892	Not applicable	
893	Battle	34
894	Battle	27
895	Battle	34
896	Battle	33
896	Justification: Humanitarian (Blairite)	19
897	Justification: Humanitarian (Blairite)	33
898	Not applicable	
899	Not applicable	
900	Justification: Humanitarian (Blairite)	19
901	Justification: Humanitarian (Blairite)	48
901	Battle	48
902	Justification: Humanitarian (Blairite)	34
902	Battle	34
903	Restoration of law and order (post-conflict)	19
903	Justification: Humanitarian (Blairite)	11
904	Battle	34
904	Justification: Humanitarian (Blairite)	19
905	Justification: Humanitarian (Blairite)	40
905	Battle	40
906	Not applicable	
907	Not applicable	
908	Battle	19
909	Strategy	32
910	Not applicable	
911	Strategy	34
911	Justification: WMDs	34
912	Not applicable	
913	Not applicable	
914	Not applicable	
915	Not applicable	
916	Not applicable	
917	Not applicable	
918	Strategy	19
919	Not applicable	
920	Not applicable	
921	Strategy	27
922	Not applicable	
923	Not applicable	
924	Not applicable	
925	Battle	33
926	Not applicable	
927	Battle	34
928	Not applicable	
929	Battle	40
930	Battle	40
931	Not applicable	
932	Strategy	27
933	Not applicable	
934	Battle	19
935	Not applicable	
936	Justification: WMDs	32
937	Battle	32
938	Battle	40
939	Not applicable	
940	Battle	27
941	Justification: WMDs	19
942	Battle	34
943	Justification: War on Terror	25
944	Justification: WMDs	19
945	Civilian casualties	18
946	Battle	32
947	Battle	40
948	Not applicable	
949	Strategy	40
949	Battle	40
950	Justification: WMDs	19
951	Not applicable	
952	Civilian casualties	24
953	Battle	34
953	Justification: WMDs	34
954	Not applicable	
955	Battle	40
956	Not applicable	
957	Not applicable	
958	Not applicable	
959	Battle	33
960	Battle	40
961	Coalition military casualties	17
961	Strategy	25
962	Justification: Humanitarian (Blairite)	19
963	Justification: Humanitarian (Blairite)	19
964	Coalition military casualties	25
965	Battle	34
966	Battle	33
967	Civilian casualties	24
968	Battle	40
969	Civilian casualties	32
970	Not applicable	
971	Battle	32
971	Humanitarian issues (aid delivery)	32
972	Justification: Humanitarian (Blairite)	19
972	Battle	33
973	Battle	34
974	Coalition military casualties	26
975	Not applicable	
976	Battle	40
977	Battle	34
977	Iraqi military casualties	19
978	Coalition military casualties	25
979	Battle	26
980	Battle	27
981	Strategy	26
982	Justification: Humanitarian (Blairite)	19
983	Not applicable	
984	Battle	34
985	Battle	26
986	Battle	40
986	Civilian casualties	24
987	Civilian casualties	26
988	Civilian casualties	24
988	Battle	40
989	Battle	34
989	Civilian casualties	34
990	Not applicable	
991	Humanitarian issues (aid delivery)	25
991	Justification: Humanitarian (Blairite)	19
992	Humanitarian issues (aid delivery)	33
993	Humanitarian issues (aid delivery)	25
994	Not applicable	
995	Battle	26
996	Battle	33
997	Not applicable	
998	Battle	34
999	Coalition military casualties	26
999	Civilian casualties	26
1000	Civilian casualties	26
1001	Not applicable	
1002	Justification: War on Terror	42
1002	Justification: Humanitarian (Blairite)	42
1003	Battle	40
1003	Civilian casualties	32
1004	Battle	40
1005	Not applicable	
1006	Strategy	34
1007	Not applicable	
1008	Not applicable	
1009	Battle	33
1010	Battle	33
1011	Not applicable	
1012	Not applicable	
1013	Not applicable	
1014	Battle	34
1015	Battle	26
1016	Battle	35
1016	Civilian casualties	24
1017	Not applicable	
1018	Battle	32
1019	Not applicable	
1020	Not applicable	
1021	Battle	32
1021	Civilian casualties	34
1022	Battle	40
1023	Battle	34
1024	Not applicable	
1025	Battle	33
1026	Battle	26
1027	Battle	34
1028	Battle	40
1029	Battle	34
1030	Battle	27
1031	Battle	40
1032	Battle	27
1033	Battle	33
1034	Justification: Humanitarian (Blairite)	11
1035	Not applicable	
1036	Not applicable	
1037	Battle	34
1038	Battle	34
1039	Coalition military casualties	19
1040	Strategy	26
1041	Not applicable	
1042	Justification: Humanitarian (Blairite)	33
1042	Civilian casualties	33
1043	Not applicable	
1044	Battle	40
1045	Justification: Humanitarian (Blairite)	33
1046	Battle	34
1047	Battle	27
1048	Justification: WMDs	40
1049	Battle	33
1049	Justification: Humanitarian (Blairite)	19
1050	Justification: Humanitarian (Blairite)	19
1051	Not applicable	
1052	Not applicable	
1053	Justification: Humanitarian (Blairite)	19
1053	Battle	33
1054	Battle	34
1055	Not applicable	
1056	Battle	34
1057	Battle	34
1058	Restoration of law and order (post-conflict)	17
1059	Justification: Humanitarian (Blairite)	11
1060	Justification: Humanitarian (Blairite)	40
1061	Not applicable	
1062	Not applicable	
1063	Coalition military casualties	25
1064	Coalition military casualties	25
1065	Battle	34
1065	Justification: Humanitarian (Blairite)	19
1066	Battle	40
1067	Justification: Humanitarian (Blairite)	34
1068	Battle	40
1069	Restoration of law and order (post-conflict)	17
1070	Justification: Humanitarian (Blairite)	40
1071	Battle	40
1072	Battle	34
1073	Battle	40
1073	Justification: Humanitarian (Blairite)	40
1074	Battle	40
1075	Not applicable	
1076	Coalition military casualties	19
1077	Battle	34
1078	Justification: WMDs	34
1079	Justification: WMDs	34
1079	Restoration of law and order (post-conflict)	26
1080	Humanitarian issues (aid delivery)	25
1081	Restoration of law and order (post-conflict)	26
1082	Battle	40
1082	Restoration of law and order (post-conflict)	18
1083	Not applicable	
1084	Justification: Humanitarian (Blairite)	34
1085	Not applicable	
1086	Not applicable	
1087	Civilian casualties	24
1088	Not applicable	
1089	Not applicable	
1090	Battle	34
1091	Strategy	34
1091	Justification: War on Terror	26
1092	Not applicable	
